STATISTICS.packets_TO_BS3 STATISTICS.DEAD3 STATISTICS.ALLIVE3
28597.00 28600.00 28601.00
28604.00 28605.00 28608.00
28611.00 28614.00 28621.00
28624.00 28627.00 28632.00
28635.00 28636.00 28637.00
28638.00 28639.00 28642.00
28651.00 28654.00 28661.00
28664.00 28665.00 28670.00
28675.00 28676.00 28677.00
28680.00 28681.00 28684.00
28685.00 28686.00 28687.00
28690.00 28697.00 28698.00
28703.00 28704.00 28705.00
28714.00 28715.00 28718.00
28723.00 28726.00 28727.00
28732.00 28733.00 28736.00
28741.00 28744.00 28745.00
28746.00 28751.00 28754.00
28757.00 28760.00 28765.00
28768.00 28773.00 28774.00
28775.00 28776.00 28779.00
28782.00 28783.00 28784.00
28791.00 28796.00 28801.00
28804.00 28807.00 28810.00
28811.00 28812.00 28815.00
28820.00 28823.00 28826.00
28831.00 28834.00 28837.00
28840.00 28841.00 28850.00
28853.00 28854.00 28855.00
28860.00 28861.00 28864.00
28867.00 28870.00 28871.00
28874.00 28879.00 28880.00
28883.00 28886.00 28893.00
28894.00 28897.00 28898.00
28903.00 28912.00 28915.00
28918.00 28919.00 28922.00
28923.00 28924.00 28927.00
28930.00 28931.00 28932.00
28933.00 28938.00 28941.00
28942.00 28949.00 28954.00
28957.00 28962.00 28965.00
28966.00 28967.00 28970.00
28973.00 28976.00 28981.00
28984.00 28985.00 28992.00
28993.00 28998.00 29001.00
29002.00 29003.00 29006.00
29011.00 29014.00 29015.00
29016.00 29017.00 29020.00
29021.00 29026.00 29031.00
29036.00 29039.00 29044.00
29049.00 29050.00 29053.00
29058.00 29063.00 29066.00
29069.00 29070.00 29071.00
29074.00 29075.00 29078.00
29081.00 29082.00 29083.00
29090.00 29099.00 29100.00
29101.00 29104.00 29109.00
29112.00 29117.00 29118.00
29123.00 29124.00 29127.00
29128.00 29129.00 29134.00
29137.00 29142.00 29145.00
29152.00 29153.00 29156.00
29159.00 29162.00 29163.00
29164.00 29165.00 29170.00
29175.00 29178.00 29181.00
29184.00 29187.00 29190.00
29193.00 29194.00 29197.00
29200.00 29205.00 29206.00
29211.00 29214.00 29217.00
29218.00 29223.00 29224.00
29231.00 29232.00 29233.00
29234.00 29239.00 29240.00
29247.00 29250.00 29253.00
29254.00 29257.00 29260.00
29265.00 29266.00 29267.00
29268.00 29273.00 29274.00
29281.00 29284.00 29287.00
29288.00 29289.00 29290.00
29293.00 29294.00 29299.00
29302.00 29305.00 29314.00
29317.00 29320.00 29323.00
29324.00 29325.00 29330.00
29331.00 29338.00 29343.00
29344.00 29345.00 29348.00
29349.00 29352.00 29357.00
29364.00 29365.00 29370.00
29371.00 29374.00 29377.00
29378.00 29383.00 29386.00
29389.00 29390.00 29391.00
29398.00 29403.00 29404.00
29409.00 29410.00 29417.00
29420.00 29423.00 29424.00
29425.00 29426.00 29429.00
29434.00 29437.00 29440.00
29443.00 29446.00 29451.00
29456.00 29459.00 29460.00
29463.00 29464.00 29467.00
29470.00 29473.00 29480.00
29481.00 29484.00 29487.00
29492.00 29493.00 29494.00
29499.00 29502.00 29507.00
29510.00 29511.00 29512.00
29513.00 29516.00 29517.00
29524.00 29525.00 29526.00
29527.00 29534.00 29539.00
29540.00 29547.00 29548.00
29551.00 29554.00 29557.00
29558.00 29561.00 29562.00
29565.00 29570.00 29573.00
29580.00 29581.00 29584.00
29587.00 29592.00 29593.00
29596.00 29597.00 29600.00
29607.00 29610.00 29613.00
29614.00 29619.00 29622.00
29623.00 29624.00 29625.00
29632.00 29635.00 29636.00
29637.00 29644.00 29649.00
29652.00 29653.00 29656.00
29659.00 29664.00 29667.00
29670.00 29673.00 29674.00
29679.00 29686.00 29687.00
29688.00 29691.00 29696.00
29699.00 29702.00 29703.00
29704.00 29711.00 29714.00
29715.00 29716.00 29721.00
29722.00 29725.00 29730.00
29731.00 29734.00 29737.00
29738.00 29739.00 29748.00
29749.00 29752.00 29757.00
29758.00 29761.00 29764.00
29767.00 29770.00 29775.00
29776.00 29777.00 29780.00
29783.00 29790.00 29791.00
29794.00 29795.00 29800.00
29801.00 29808.00 29811.00
29814.00 29817.00 29822.00
29823.00 29824.00 29825.00
29830.00 29835.00 29836.00
29837.00 29840.00 29841.00
29844.00 29847.00 29854.00
29857.00 29858.00 29861.00
29862.00 29869.00 29870.00
29875.00 29878.00 29879.00
29884.00 29887.00 29892.00
29897.00 29902.00 29903.00
29906.00 29907.00 29910.00
29913.00 29914.00 29915.00
29916.00 29919.00 29924.00
29925.00 29930.00 29931.00
29934.00 29941.00 29944.00
29945.00 29948.00 29953.00
29954.00 29957.00 29958.00
29959.00 29964.00 29969.00
29974.00 29977.00 29982.00
29983.00 29986.00 29991.00
29994.00 29995.00 29996.00
30001.00 30004.00 30005.00
30010.00 30011.00 30014.00
30017.00 30018.00 30019.00
30024.00 30027.00 30034.00
30037.00 30042.00 30045.00
30050.00 30057.00 30058.00
30061.00 30062.00 30063.00
30064.00 30071.00 30072.00
30077.00 30078.00 30079.00
30082.00 30083.00 30086.00
30091.00 30094.00 30095.00
30100.00 30103.00 30106.00
30107.00 30110.00 30115.00
30116.00 30121.00 30124.00
30127.00 30130.00 30133.00
30134.00 30135.00 30140.00
30141.00 30144.00 30151.00
30154.00 30159.00 30162.00
30165.00 30170.00 30173.00
30174.00 30175.00 30178.00
30183.00 30184.00 30189.00
30190.00 30195.00 30196.00
30199.00 30202.00 30207.00
30210.00 30213.00 30214.00
30219.00 30222.00 30223.00
30228.00 30229.00 30232.00
30233.00 30238.00 30239.00
30244.00 30245.00 30248.00
30253.00 30256.00 30259.00
30262.00 30263.00 30264.00
30269.00 30274.00 30277.00
30284.00 30287.00 30288.00
30291.00 30294.00 30295.00
30296.00 30301.00 30304.00
30307.00 30312.00 30313.00
30316.00 30323.00 30324.00
30325.00 30328.00 30331.00
30334.00 30335.00 30340.00
30343.00 30346.00 30349.00
30350.00 30353.00 30354.00
30357.00 30364.00 30369.00
30370.00 30373.00 30374.00
